Draft_Year,Pick,Team,Player,College,Years,G,MP_Total,PTS_Total,TRB_Total,AST_Total,FGpct,TPpct,FTpct,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2019,15,DET,Sekou Doumbouya,,2,89,1485,465,235,58,.372,.256,.695,16.7,5.2,2.6,0.7,-0.7,-.023,-7.4,-2.0
2019,16,ORL,Chuma Okeke,Auburn,1,45,1133,349,181,101,.417,.348,.750,25.2,7.8,4.0,2.2,1.4,.060,-1.4,0.2
2019,17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,88,1442,687,210,170,.398,.347,.719,16.4,7.8,2.4,1.9,0.4,.014,-2.9,-0.3
2019,18,IND,Goga Bitadze,,2,91,890,361,225,49,.462,.235,.744,9.8,4.0,2.5,0.5,1.9,.103,-1.3,0.2
2019,19,SAS,Luka Šamanić,,2,32,317,114,69,20,.426,.283,.536,9.9,3.6,2.2,0.6,0.1,.022,-5.2,-0.3
2019,20,BOS,Matisse Thybulle,Washington,2,127,2531,553,226,139,.421,.332,.559,19.9,4.4,1.8,1.1,5.0,.094,0.9,1.8
2019,21,OKC,Brandon Clarke,Gonzaga,2,110,2582,1250,630,170,.570,.318,.724,23.5,11.4,5.7,1.5,8.6,.160,2.2,2.7
2019,22,BOS,Grant Williams,Tennessee,2,125,2057,482,332,122,.421,.318,.649,16.5,3.9,2.7,1.0,2.5,.057,-3.4,-0.7
2019,23,UTA,Darius Bazley,,2,110,2661,1001,607,123,.403,.310,.686,24.2,9.1,5.5,1.1,0.4,.006,-3.1,-0.7
2019,24,PHI,Ty Jerome,Virginia,2,62,1074,424,132,157,.411,.385,.739,17.3,6.8,2.1,2.5,1.1,.049,-1.7,0.1
2019,25,POR,Nassir Little,UNC,2,92,1175,374,229,44,.437,.299,.716,12.8,4.1,2.5,0.5,1.5,.060,-3.4,-0.4
2019,26,CLE,Dylan Windler,Belmont,1,31,513,161,107,33,.438,.338,.778,16.5,5.2,3.5,1.1,0.5,.049,-1.7,0.0
2019,27,BRK,Mfiondu Kabengele,Florida State,2,43,236,93,38,14,.390,.347,.857,5.5,2.2,0.9,0.3,0.2,.050,-3.8,-0.1
2019,28,GSW,Jordan Poole,Michigan,2,101,2091,983,190,220,.369,.309,.831,20.7,9.7,1.9,2.2,0.0,-.001,-4.6,-1.4
2019,29,SAS,Keldon Johnson,Kentucky,2,78,2069,940,444,123,.496,.370,.740,26.5,12.1,5.7,1.6,4.3,.100,-1.2,0.4
