player,college,Team,Year,Player_URL,HS
Kris Humphries,Minnesota,BRK,2013,https://www.basketball-reference.com/players/h/humphkr01.html,"Hopkins in Minnetonka, Minnesota|"
Kris Humphries,Minnesota,BRK,2013,https://www.basketball-reference.com/players/h/humphkr01.html,"Hopkins in Minnetonka, Minnesota|"
Kris Humphries,Minnesota,BRK,2013,https://www.basketball-reference.com/players/h/humphkr01.html,"Hopkins in Minnetonka, Minnesota|"
Kris Humphries,Minnesota,BRK,2013,https://www.basketball-reference.com/players/h/humphkr01.html,"Hopkins in Minnetonka, Minnesota|"
Damion James,Texas,BRK,2013,https://www.basketball-reference.com/players/j/jamesda01.html,"Nacogdoches in Nacogdoches, Texas|"
Damion James,Texas,BRK,2013,https://www.basketball-reference.com/players/j/jamesda01.html,"Nacogdoches in Nacogdoches, Texas|"
Damion James,Texas,BRK,2013,https://www.basketball-reference.com/players/j/jamesda01.html,"Nacogdoches in Nacogdoches, Texas|"
Joe Johnson,Arkansas,BRK,2013,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2013,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2013,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2013,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2013,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Kris Joseph,Syracuse,BRK,2013,https://www.basketball-reference.com/players/j/josepkr01.html,"Archbishop Carroll in Montreal, Canada|"
Kris Joseph,Syracuse,BRK,2013,https://www.basketball-reference.com/players/j/josepkr01.html,"Archbishop Carroll in Montreal, Canada|"
Kris Joseph,Syracuse,BRK,2013,https://www.basketball-reference.com/players/j/josepkr01.html,"Archbishop Carroll in Montreal, Canada|"
Brook Lopez,Stanford,BRK,2013,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Brook Lopez,Stanford,BRK,2013,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Brook Lopez,Stanford,BRK,2013,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Brook Lopez,Stanford,BRK,2013,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Brook Lopez,Stanford,BRK,2013,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Tornike Shengelia,,BRK,2013,https://www.basketball-reference.com/players/s/shengto01.html,NA||
Tornike Shengelia,,BRK,2013,https://www.basketball-reference.com/players/s/shengto01.html,NA||
Tornike Shengelia,,BRK,2013,https://www.basketball-reference.com/players/s/shengto01.html,NA||
Jerry Stackhouse,UNC,BRK,2013,https://www.basketball-reference.com/players/s/stackje01.html,"Kinston in Kinston, North Carolina|Oak Hill Academy in Mouth of Wilson, Virginia|"
Jerry Stackhouse,UNC,BRK,2013,https://www.basketball-reference.com/players/s/stackje01.html,"Kinston in Kinston, North Carolina|Oak Hill Academy in Mouth of Wilson, Virginia|"
Jerry Stackhouse,UNC,BRK,2013,https://www.basketball-reference.com/players/s/stackje01.html,"Kinston in Kinston, North Carolina|Oak Hill Academy in Mouth of Wilson, Virginia|"
Jerry Stackhouse,UNC,BRK,2013,https://www.basketball-reference.com/players/s/stackje01.html,"Kinston in Kinston, North Carolina|Oak Hill Academy in Mouth of Wilson, Virginia|"
Jerry Stackhouse,UNC,BRK,2013,https://www.basketball-reference.com/players/s/stackje01.html,"Kinston in Kinston, North Carolina|Oak Hill Academy in Mouth of Wilson, Virginia|"
Tyshawn Taylor,Kansas,BRK,2013,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Tyshawn Taylor,Kansas,BRK,2013,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Tyshawn Taylor,Kansas,BRK,2013,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Tyshawn Taylor,Kansas,BRK,2013,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Tyshawn Taylor,Kansas,BRK,2013,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Mirza Teletović,,BRK,2013,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2013,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2013,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2013,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2013,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Gerald Wallace,Alabama,BRK,2013,https://www.basketball-reference.com/players/w/wallage01.html,"Childersburg in Childersburg, Alabama|"
Gerald Wallace,Alabama,BRK,2013,https://www.basketball-reference.com/players/w/wallage01.html,"Childersburg in Childersburg, Alabama|"
Gerald Wallace,Alabama,BRK,2013,https://www.basketball-reference.com/players/w/wallage01.html,"Childersburg in Childersburg, Alabama|"
Gerald Wallace,Alabama,BRK,2013,https://www.basketball-reference.com/players/w/wallage01.html,"Childersburg in Childersburg, Alabama|"
Gerald Wallace,Alabama,BRK,2013,https://www.basketball-reference.com/players/w/wallage01.html,"Childersburg in Childersburg, Alabama|"
C.J. Watson,Tennessee,BRK,2013,https://www.basketball-reference.com/players/w/watsocj01.html,"Bishop Gorman in Las Vegas, Nevada|"
C.J. Watson,Tennessee,BRK,2013,https://www.basketball-reference.com/players/w/watsocj01.html,"Bishop Gorman in Las Vegas, Nevada|"
C.J. Watson,Tennessee,BRK,2013,https://www.basketball-reference.com/players/w/watsocj01.html,"Bishop Gorman in Las Vegas, Nevada|"
C.J. Watson,Tennessee,BRK,2013,https://www.basketball-reference.com/players/w/watsocj01.html,"Bishop Gorman in Las Vegas, Nevada|"
C.J. Watson,Tennessee,BRK,2013,https://www.basketball-reference.com/players/w/watsocj01.html,"Bishop Gorman in Las Vegas, Nevada|"
Deron Williams,Illinois,BRK,2013,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2013,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2013,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2013,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2013,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Alan Anderson,Michigan State,BRK,2014,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2014,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2014,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2014,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2014,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Andray Blatche,,BRK,2014,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2014,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2014,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2014,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Andray Blatche,,BRK,2014,https://www.basketball-reference.com/players/b/blatcan01.html,"South Kent School in South Kent, Connecticut|"
Jason Collins,Stanford,BRK,2014,https://www.basketball-reference.com/players/c/collija04.html,"Harvard-Westlake School in North Hollywood, California|"
Jason Collins,Stanford,BRK,2014,https://www.basketball-reference.com/players/c/collija04.html,"Harvard-Westlake School in North Hollywood, California|"
Jason Collins,Stanford,BRK,2014,https://www.basketball-reference.com/players/c/collija04.html,"Harvard-Westlake School in North Hollywood, California|"
Reggie Evans,Iowa,BRK,2014,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Reggie Evans,Iowa,BRK,2014,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Reggie Evans,Iowa,BRK,2014,https://www.basketball-reference.com/players/e/evansre01.html,"Woodham in Pensacola, Florida|"
Kevin Garnett,,BRK,2014,https://www.basketball-reference.com/players/g/garneke01.html,"Mauldin HS in Mauldin, South Carolina|Farragut Career Academy in Chicago, Illinois|"
Kevin Garnett,,BRK,2014,https://www.basketball-reference.com/players/g/garneke01.html,"Mauldin HS in Mauldin, South Carolina|Farragut Career Academy in Chicago, Illinois|"
Kevin Garnett,,BRK,2014,https://www.basketball-reference.com/players/g/garneke01.html,"Mauldin HS in Mauldin, South Carolina|Farragut Career Academy in Chicago, Illinois|"
Kevin Garnett,,BRK,2014,https://www.basketball-reference.com/players/g/garneke01.html,"Mauldin HS in Mauldin, South Carolina|Farragut Career Academy in Chicago, Illinois|"
Kevin Garnett,,BRK,2014,https://www.basketball-reference.com/players/g/garneke01.html,"Mauldin HS in Mauldin, South Carolina|Farragut Career Academy in Chicago, Illinois|"
Jorge Gutiérrez,California,BRK,2014,https://www.basketball-reference.com/players/g/gutiejo01.html,"Findlay Prep in Henderson, Nevada|"
Jorge Gutiérrez,California,BRK,2014,https://www.basketball-reference.com/players/g/gutiejo01.html,"Findlay Prep in Henderson, Nevada|"
Jorge Gutiérrez,California,BRK,2014,https://www.basketball-reference.com/players/g/gutiejo01.html,"Findlay Prep in Henderson, Nevada|"
Jorge Gutiérrez,California,BRK,2014,https://www.basketball-reference.com/players/g/gutiejo01.html,"Findlay Prep in Henderson, Nevada|"
Jorge Gutiérrez,California,BRK,2014,https://www.basketball-reference.com/players/g/gutiejo01.html,"Findlay Prep in Henderson, Nevada|"
Joe Johnson,Arkansas,BRK,2014,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2014,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2014,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2014,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Joe Johnson,Arkansas,BRK,2014,https://www.basketball-reference.com/players/j/johnsjo02.html,"Little Rock Central in Little Rock, Arkansas|"
Andrei Kirilenko,,BRK,2014,https://www.basketball-reference.com/players/k/kirilan01.html,"Frunzenskaya Sport School in Saint Petersburg, Russia|"
Andrei Kirilenko,,BRK,2014,https://www.basketball-reference.com/players/k/kirilan01.html,"Frunzenskaya Sport School in Saint Petersburg, Russia|"
Andrei Kirilenko,,BRK,2014,https://www.basketball-reference.com/players/k/kirilan01.html,"Frunzenskaya Sport School in Saint Petersburg, Russia|"
Andrei Kirilenko,,BRK,2014,https://www.basketball-reference.com/players/k/kirilan01.html,"Frunzenskaya Sport School in Saint Petersburg, Russia|"
