Draft_Year,Pick,Team,Player,College,Years,G,MP_Total,PTS_Total,TRB_Total,AST_Total,FGpct,TPpct,FTpct,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Player_URL,Img_URL,HS
2006,14,UTA,Ronnie Brewer,Arkansas,8,502,11539,3940,1427,828,.490,.254,.675,23.0,7.8,2.8,1.6,30.4,.127,1.6,10.6,https://www.basketball-reference.com/players/b/brewero02.html,https://www.basketball-reference.com/req/202103225/images/players/brewero02.jpg,"Fayetteville in Fayetteville, Arkansas|"
2006,15,NOK,Cedric Simmons,NC State,3,75,705,163,141,14,.409,,.390,9.4,2.2,1.9,0.2,0.1,.005,-5.0,-0.5,https://www.basketball-reference.com/players/s/simmoce01.html,https://www.basketball-reference.com/req/202103225/images/players/simmoce01.jpg,"West Brunswick in Shallotte, North Carolina|"
2006,16,CHI,Rodney Carney,Memphis,5,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064,-1.6,0.5,https://www.basketball-reference.com/players/c/carnero01.html,https://www.basketball-reference.com/req/202103225/images/players/carnero01.jpg,"Northwest in Indianapolis, Indiana|"
2006,17,IND,Shawne Williams,Memphis,7,314,5368,1769,945,220,.403,.339,.755,17.1,5.6,3.0,0.7,6.7,.060,-2.2,-0.3,https://www.basketball-reference.com/players/w/willish03.html,https://www.basketball-reference.com/req/202103225/images/players/willish03.jpg,"Laurinburg Institute in Laurinburg, North Carolina|"
2006,19,SAC,Quincy Douby,Rutgers University,3,143,1535,588,152,93,.389,.312,.884,10.7,4.1,1.1,0.7,0.0,.000,-3.5,-0.6,https://www.basketball-reference.com/players/d/doubyqu01.html,https://www.basketball-reference.com/req/202103225/images/players/doubyqu01.jpg,"St. Thomas Moore School in Oakdale, Connecticut|"
2006,20,NYK,Renaldo Balkman,South Carolina,6,221,3064,894,769,132,.510,.172,.542,13.9,4.0,3.5,0.6,7.2,.113,0.1,1.6,https://www.basketball-reference.com/players/b/balkmre01.html,https://www.basketball-reference.com/req/202103225/images/players/balkmre01.jpg,"Laurinburg Institute in Laurinburg, North Carolina|"
2006,21,PHO,Rajon Rondo,Kentucky,15,914,27786,9118,4224,7384,.458,.320,.609,30.4,10.0,4.6,8.1,60.7,.105,1.3,23.0,https://www.basketball-reference.com/players/r/rondora01.html,https://www.basketball-reference.com/req/202103225/images/players/rondora01.jpg,"Eastern in Louisville, Kentucky|Oak Hill Academy in Mouth of Wilson, Virginia|"
2006,22,NJN,Marcus Williams,UConn,4,203,3095,1128,361,574,.386,.321,.767,15.2,5.6,1.8,2.8,0.0,-.001,-3.3,-1.0,https://www.basketball-reference.com/players/w/willima03.html,https://www.basketball-reference.com/req/202103225/images/players/willima03.jpg,"Crenshaw in Los Angeles, California|Oak Hill Academy in Mouth of Wilson, Virginia|"
2006,23,NJN,Josh Boone,UConn,4,256,4482,1340,1258,125,.544,,.445,17.5,5.2,4.9,0.5,9.1,.097,-2.0,0.0,https://www.basketball-reference.com/players/b/boonejo01.html,https://www.basketball-reference.com/req/202103225/images/players/boonejo01.jpg,"West Nottingham Academy in Colora, Maryland|"
2006,24,MEM,Kyle Lowry,Villanova,15,960,30480,14272,4193,5995,.424,.368,.812,31.8,14.9,4.4,6.2,98.4,.155,3.1,39.6,https://www.basketball-reference.com/players/l/lowryky01.html,https://www.basketball-reference.com/req/202103225/images/players/lowryky01.jpg,"Northeast in Philadelphia, Pennsylvania|Cardinal Dougherty in Philadelphia, Pennsylvania|"
2006,25,CLE,Shannon Brown,Michigan State,9,408,7329,3118,760,458,.420,.332,.807,18.0,7.6,1.9,1.1,9.2,.060,-1.5,1.0,https://www.basketball-reference.com/players/b/brownsh01.html,https://www.basketball-reference.com/req/202103225/images/players/brownsh01.jpg,"Proviso East in Maywood, Illinois|"
2006,26,LAL,Jordan Farmar,UCLA,10,504,9840,3888,958,1453,.423,.374,.739,19.5,7.7,1.9,2.9,13.9,.068,-0.5,3.7,https://www.basketball-reference.com/players/f/farmajo01.html,https://www.basketball-reference.com/req/202103225/images/players/farmajo01.jpg,"Taft in Woodland Hills, California|"
2006,28,DAL,Maurice Ager,Michigan State,4,82,505,169,46,19,.339,.250,.566,6.2,2.1,0.6,0.2,-0.9,-.089,-9.4,-0.9,https://www.basketball-reference.com/players/a/agerma01.html,https://www.basketball-reference.com/req/202103225/images/players/agerma01.jpg,"Crocket in Detroit, Michigan|"
2006,29,NYK,Mardy Collins,Temple,4,189,2771,742,336,327,.380,.299,.599,14.7,3.9,1.8,1.7,-1.6,-.027,-4.4,-1.7,https://www.basketball-reference.com/players/c/collima01.html,https://www.basketball-reference.com/req/202103225/images/players/collima01.jpg,"Simon Gratz in Philadelphia, Pennsylvania|"
2006,31,POR,James White,Cincinnati,3,67,583,182,68,35,.438,.340,.676,8.7,2.7,1.0,0.5,0.8,.062,-3.2,-0.2,https://www.basketball-reference.com/players/w/whiteja02.html,https://www.basketball-reference.com/req/202103225/images/players/whiteja02.jpg,"Blue Ridge in St. George, Virginia|Newport School in Kensington, Maryland|Hargrave Military Academy in Chatham, Virginia|"
2006,32,HOU,Steve Novak,Marquette,11,467,5657,2177,591,132,.437,.430,.877,12.1,4.7,1.3,0.3,14.5,.123,0.8,4.0,https://www.basketball-reference.com/players/n/novakst01.html,https://www.basketball-reference.com/req/202103225/images/players/novakst01.jpg,"Brown Deer in Brown Deer, Wisconsin|"
2006,33,ATL,Solomon Jones,South Florida,8,281,3092,839,654,99,.467,.111,.717,11.0,3.0,2.3,0.4,5.0,.078,-4.0,-1.6,https://www.basketball-reference.com/players/j/jonesso01.html,https://www.basketball-reference.com/req/202103225/images/players/jonesso01.jpg,"Mount Dora in Mount Dora, Florida|"
2006,34,LAC,Paul Davis,Michigan State,4,82,702,217,158,32,.402,.000,.732,8.6,2.6,1.9,0.4,0.5,.035,-4.2,-0.4,https://www.basketball-reference.com/players/d/davispa01.html,https://www.basketball-reference.com/req/202103225/images/players/davispa01.jpg,"Rochester in Rochester, Michigan|"
2006,35,TOR,P.J. Tucker,Texas,10,702,20465,4989,3994,996,.420,.360,.748,29.2,7.1,5.7,1.4,35.0,.082,-0.9,5.9,https://www.basketball-reference.com/players/t/tuckepj01.html,https://www.basketball-reference.com/req/202103225/images/players/tuckepj01.jpg,"Enloe in Raleigh, North Carolina|"
2006,36,MIN,Craig Smith,Boston College,6,403,6826,3080,1567,322,.553,.037,.661,16.9,7.6,3.9,0.8,16.0,.113,-1.2,1.4,https://www.basketball-reference.com/players/s/smithcr01.html,https://www.basketball-reference.com/req/202103225/images/players/smithcr01.jpg,"Fairfax in Los Angeles, California|"
2006,37,MIN,Bobby Jones,Washington,2,91,867,288,149,44,.442,.306,.685,9.5,3.2,1.6,0.5,1.1,.060,-4.1,-0.5,https://www.basketball-reference.com/players/j/jonesbo02.html,https://www.basketball-reference.com/req/202103225/images/players/jonesbo02.jpg,"Long Beach Polytechnic in Long Beach, California|"
2006,39,MIL,David Noel,UNC,1,68,792,184,123,65,.367,.321,.860,11.6,2.7,1.8,1.0,0.4,.024,-3.1,-0.2,https://www.basketball-reference.com/players/n/noelda01.html,https://www.basketball-reference.com/req/202103225/images/players/noelda01.jpg,"Southern Durham in Durham, North Carolina|"
2006,41,ORL,James Augustine,Illinois,2,27,156,42,33,4,.514,,.500,5.8,1.6,1.2,0.1,0.3,.101,-2.7,0.0,https://www.basketball-reference.com/players/a/augusja01.html,https://www.basketball-reference.com/req/202103225/images/players/augusja01.jpg,"Lincoln-Way Central in Mokena, Illinois|"
2006,42,CLE,Daniel Gibson,Texas,7,397,9316,3115,792,775,.402,.407,.780,23.5,7.8,2.0,2.0,16.0,.082,-1.0,2.4,https://www.basketball-reference.com/players/g/gibsoda01.html,https://www.basketball-reference.com/req/202103225/images/players/gibsoda01.jpg,"Jones in Houston, Texas|"
